Post Number,Likes
1,1659
2,3644
3,2516
4,6253
5,984
6,743
7,602
8,3379
9,649
10,2562
11,2266
12,453
13,987
14,2265
15,899
16,1830
17,492
18,815
19,864
20,1585
21,1089
22,3943
23,1377
24,1284
25,258
26,514
27,2284
28,2403
29,560
30,2437
31,2136
32,2233
33,9815
34,1547
35,311
36,607
37,244
38,6718
39,661
40,984
41,855
42,334
43,963
44,826
45,3564
46,1571
47,2203
48,862
49,392
50,3384
51,6089
52,1331
53,2225
54,1046
55,2564
56,1139
57,2064
58,2173
59,663
60,540
61,1810
62,1935
63,1935
64,695
65,250
66,3440
67,1327
68,202
69,788
70,2606
71,2115
72,4375
73,1118
74,1077
75,2601
76,713
77,703
78,446
79,4036
80,3623
81,7236
82,3964
83,720
84,6756
85,4974
86,875
87,629
88,3845
89,3054
90,314
91,624
92,1015
93,660
94,2126
95,518
96,1816
97,525
98,5563
99,513
100,1095
101,717
102,2892
103,1769
104,5302
105,579
106,6951
107,2664
108,2651
109,4237
110,489
111,693
112,831
113,1424
114,3867
115,2688
116,813
117,2699
118,921
119,745
120,1467
121,-1
122,2017
123,3233
124,1465
125,932
126,1322
127,2085
128,2948
129,5015
130,1390
131,2133
132,922
133,485
134,2584
135,3152
136,1562
137,2611
138,3227
139,2138
140,436
141,2166
142,1223
143,2619
144,4353
145,6488
146,6041
147,5160
148,7768
149,7924
150,3061
151,1971
152,1327
153,1651
154,835
155,1390
156,1213
157,1021
158,1170
159,4328
160,1327
161,1683
162,3234
163,3842
164,9447
165,2355
166,13051
167,10433
168,6801
169,1400
170,672
171,2918
172,1291
173,1167
174,3712
175,662
176,1934
177,640
178,1337
179,3707
180,2135
181,1896
182,2062
183,1759
184,1571
185,898
186,2736
187,3561
188,4407
189,3811
190,1705
191,516
192,3928
193,1378
194,1233
195,430
196,1078
197,1248
198,598
199,726
200,1763
201,4738
202,5577
203,791
204,1848
205,9314
206,1467
207,2911
208,1016
209,2880
210,527
211,1345
212,777
213,1332
214,727
