Media Type,Post Date,Political Party
GraphVideo,2024-03-08 23:14:43,B.E.
GraphSidecar,2024-03-08 23:04:35,B.E.
GraphVideo,2024-03-08 20:04:21,B.E.
GraphImage,2024-03-08 18:48:32,B.E.
GraphSidecar,2024-03-08 16:00:56,B.E.
GraphVideo,2024-03-08 14:57:18,B.E.
GraphVideo,2024-03-08 13:55:06,B.E.
GraphImage,2024-03-08 12:29:55,B.E.
GraphVideo,2024-03-08 12:05:50,B.E.
GraphVideo,2024-03-08 11:11:20,B.E.
GraphSidecar,2024-03-08 10:41:15,B.E.
GraphSidecar,2024-03-07 21:00:42,B.E.
GraphImage,2024-03-07 19:00:51,B.E.
GraphVideo,2024-03-07 17:03:15,B.E.
GraphSidecar,2024-03-07 14:46:35,B.E.
GraphSidecar,2024-03-07 14:09:11,B.E.
GraphVideo,2024-03-07 13:44:08,B.E.
GraphVideo,2024-03-07 12:13:52,B.E.
GraphVideo,2024-03-07 11:37:39,B.E.
GraphSidecar,2024-03-07 11:01:17,B.E.
GraphSidecar,2024-03-07 08:13:42,B.E.
GraphSidecar,2024-03-06 21:10:43,B.E.
GraphVideo,2024-03-06 17:40:05,B.E.
GraphVideo,2024-03-06 14:45:40,B.E.
GraphVideo,2024-03-06 13:46:06,B.E.
GraphVideo,2024-03-06 12:05:25,B.E.
GraphVideo,2024-03-06 11:55:20,B.E.
GraphSidecar,2024-03-06 10:23:29,B.E.
GraphSidecar,2024-03-06 10:03:39,B.E.
GraphVideo,2024-03-05 22:28:52,B.E.
GraphSidecar,2024-03-05 20:33:29,B.E.
GraphImage,2024-03-05 20:14:14,B.E.
GraphVideo,2024-03-05 17:14:31,B.E.
GraphSidecar,2024-03-05 17:07:06,B.E.
GraphVideo,2024-03-05 15:12:56,B.E.
GraphVideo,2024-03-05 14:08:43,B.E.
GraphVideo,2024-03-05 13:00:44,B.E.
GraphImage,2024-03-05 12:09:45,B.E.
GraphVideo,2024-03-05 11:37:04,B.E.
GraphVideo,2024-03-05 10:12:16,B.E.
GraphSidecar,2024-03-05 02:24:46,B.E.
GraphVideo,2024-03-04 22:05:05,B.E.
GraphVideo,2024-03-04 20:37:51,B.E.
GraphVideo,2024-03-04 18:53:42,B.E.
GraphVideo,2024-03-04 17:53:26,B.E.
GraphVideo,2024-03-04 17:05:44,B.E.
GraphSidecar,2024-03-04 16:29:06,B.E.
GraphVideo,2024-03-04 16:09:12,B.E.
GraphVideo,2024-03-04 14:33:32,B.E.
GraphVideo,2024-03-04 13:10:21,B.E.
GraphVideo,2024-03-04 12:44:50,B.E.
GraphVideo,2024-03-04 11:25:58,B.E.
GraphVideo,2024-03-04 09:01:40,B.E.
GraphSidecar,2024-03-03 22:02:05,B.E.
GraphVideo,2024-03-03 17:20:53,B.E.
GraphSidecar,2024-03-03 10:44:43,B.E.
GraphVideo,2024-03-03 10:17:53,B.E.
GraphSidecar,2024-03-02 22:14:21,B.E.
GraphVideo,2024-03-02 19:14:55,B.E.
GraphVideo,2024-03-02 15:53:04,B.E.
GraphVideo,2024-03-02 14:06:08,B.E.
GraphSidecar,2024-03-02 13:53:39,B.E.
GraphVideo,2024-03-02 13:01:18,B.E.
GraphSidecar,2024-03-02 11:04:53,B.E.
GraphVideo,2024-03-02 09:55:33,B.E.
GraphVideo,2024-03-01 19:15:42,B.E.
GraphSidecar,2024-03-01 17:51:53,B.E.
GraphVideo,2024-03-01 16:58:02,B.E.
GraphVideo,2024-03-01 14:42:49,B.E.
GraphVideo,2024-03-01 12:23:32,B.E.
GraphVideo,2024-02-29 19:11:37,B.E.
GraphSidecar,2024-02-29 18:02:44,B.E.
GraphSidecar,2024-02-29 16:53:47,B.E.
GraphSidecar,2024-02-29 10:47:57,B.E.
GraphSidecar,2024-02-29 10:18:00,B.E.
GraphSidecar,2024-02-29 09:18:20,B.E.
GraphSidecar,2024-02-29 01:20:59,B.E.
GraphVideo,2024-02-28 22:02:22,B.E.
GraphVideo,2024-02-28 15:53:43,B.E.
GraphSidecar,2024-02-28 13:58:13,B.E.
GraphImage,2024-02-28 12:18:12,B.E.
GraphVideo,2024-02-28 11:59:20,B.E.
GraphSidecar,2024-02-28 11:34:09,B.E.
GraphSidecar,2024-02-27 21:02:34,B.E.
GraphVideo,2024-02-27 18:43:09,B.E.
GraphSidecar,2024-02-27 17:25:36,B.E.
GraphVideo,2024-02-27 15:45:55,B.E.
GraphVideo,2024-02-27 12:56:43,B.E.
GraphImage,2024-02-27 11:26:48,B.E.
GraphVideo,2024-02-27 09:43:00,B.E.
GraphSidecar,2024-02-26 21:57:16,B.E.
GraphSidecar,2024-02-26 17:59:23,B.E.
GraphVideo,2024-02-26 17:42:58,B.E.
GraphImage,2024-02-26 16:55:51,B.E.
GraphVideo,2024-02-26 13:15:01,B.E.
GraphVideo,2024-02-26 12:40:28,B.E.
GraphVideo,2024-02-26 12:15:47,B.E.
GraphVideo,2024-02-25 20:39:09,B.E.
GraphSidecar,2024-02-25 19:53:54,B.E.
GraphSidecar,2024-02-25 17:37:15,B.E.
GraphSidecar,2024-02-25 13:13:05,B.E.
GraphVideo,2024-02-25 00:08:54,B.E.
GraphSidecar,2024-02-24 19:04:37,B.E.
GraphVideo,2024-02-24 18:06:27,B.E.
GraphSidecar,2024-02-24 15:02:46,B.E.
GraphVideo,2024-02-23 23:49:18,B.E.
GraphVideo,2024-02-23 23:37:37,B.E.
GraphVideo,2024-02-23 23:11:01,B.E.
GraphSidecar,2024-02-23 22:57:56,B.E.
GraphSidecar,2024-02-23 14:39:28,B.E.
GraphVideo,2024-02-23 14:19:08,B.E.
GraphSidecar,2024-02-23 09:06:53,B.E.
GraphImage,2024-02-22 16:45:07,B.E.
GraphVideo,2024-02-22 15:49:11,B.E.
GraphVideo,2024-02-22 12:00:09,B.E.
GraphSidecar,2024-02-21 23:40:43,B.E.
GraphVideo,2024-02-21 20:50:42,B.E.
GraphVideo,2024-02-21 14:23:48,B.E.
GraphImage,2024-02-21 09:00:16,B.E.
GraphSidecar,2024-02-21 00:22:57,B.E.
GraphVideo,2024-02-20 21:41:27,B.E.
GraphSidecar,2024-02-20 18:02:00,B.E.
GraphSidecar,2024-02-20 11:25:39,B.E.
GraphVideo,2024-02-19 19:11:25,B.E.
GraphSidecar,2024-02-19 14:13:31,B.E.
GraphVideo,2024-02-19 00:07:55,B.E.
GraphVideo,2024-02-18 23:49:14,B.E.
GraphSidecar,2024-02-18 23:09:26,B.E.
GraphVideo,2024-02-17 18:54:13,B.E.
GraphImage,2024-02-16 22:43:12,B.E.
GraphVideo,2024-02-16 22:23:01,B.E.
GraphVideo,2024-02-16 21:59:12,B.E.
GraphVideo,2024-02-16 18:25:45,B.E.
GraphImage,2024-02-15 21:59:39,B.E.
GraphVideo,2024-02-15 21:14:58,B.E.
GraphVideo,2024-02-15 21:03:42,B.E.
GraphVideo,2024-02-15 20:06:18,B.E.
GraphSidecar,2024-02-15 19:48:29,B.E.
GraphVideo,2024-02-15 19:37:06,B.E.
GraphVideo,2024-02-15 16:36:48,B.E.
GraphImage,2024-02-15 14:45:50,B.E.
GraphVideo,2024-02-14 19:15:22,B.E.
GraphVideo,2024-02-14 11:08:11,B.E.
GraphImage,2024-02-14 00:36:31,B.E.
GraphVideo,2024-02-13 23:38:22,B.E.
GraphVideo,2024-02-13 23:23:26,B.E.
GraphSidecar,2024-02-13 23:04:42,B.E.
GraphVideo,2024-02-13 23:00:59,B.E.
GraphVideo,2024-02-13 22:40:52,B.E.
GraphImage,2024-02-13 08:05:11,B.E.
GraphSidecar,2024-02-12 15:07:45,B.E.
GraphVideo,2024-02-11 23:19:21,B.E.
GraphVideo,2024-02-11 18:28:53,B.E.
GraphSidecar,2024-02-11 16:24:30,B.E.
GraphSidecar,2024-02-11 10:26:11,B.E.
GraphVideo,2024-02-11 09:41:48,B.E.
GraphSidecar,2024-02-11 01:38:26,B.E.
GraphVideo,2024-02-10 19:27:31,B.E.
GraphSidecar,2024-02-10 09:30:36,B.E.
GraphVideo,2024-02-09 20:06:08,B.E.
GraphVideo,2024-02-09 14:52:43,B.E.
GraphVideo,2024-02-08 21:45:29,B.E.
GraphVideo,2024-02-08 19:53:47,B.E.
GraphSidecar,2024-02-07 16:48:46,B.E.
GraphVideo,2024-02-07 15:02:07,B.E.
GraphImage,2024-02-07 12:20:01,B.E.
GraphVideo,2024-02-06 22:30:26,B.E.
GraphImage,2024-02-06 21:31:25,B.E.
GraphVideo,2024-02-06 14:13:49,B.E.
GraphImage,2024-02-06 11:14:05,B.E.
GraphVideo,2024-02-05 13:18:25,B.E.
GraphVideo,2024-02-04 12:42:53,B.E.
GraphSidecar,2024-02-04 12:03:37,B.E.
GraphVideo,2024-02-03 20:49:29,B.E.
GraphSidecar,2024-02-03 16:08:20,B.E.
GraphSidecar,2024-02-03 08:58:22,B.E.
GraphSidecar,2024-02-02 21:15:08,B.E.
GraphSidecar,2024-02-02 15:27:58,B.E.
GraphVideo,2024-02-01 14:53:41,B.E.
GraphSidecar,2024-02-01 11:29:43,B.E.
GraphSidecar,2024-01-31 14:14:05,B.E.
GraphVideo,2024-01-30 09:55:23,B.E.
GraphSidecar,2024-01-27 21:31:09,B.E.
GraphVideo,2024-01-27 19:29:59,B.E.
GraphSidecar,2024-01-26 14:15:19,B.E.
GraphVideo,2024-01-26 11:38:12,B.E.
GraphSidecar,2024-01-25 18:36:06,B.E.
GraphVideo,2024-01-25 09:07:10,B.E.
GraphVideo,2024-01-24 19:50:43,B.E.
GraphSidecar,2024-01-24 16:05:43,B.E.
GraphVideo,2024-01-23 18:57:27,B.E.
GraphSidecar,2024-01-23 16:48:36,B.E.
GraphVideo,2024-01-22 16:41:41,B.E.
GraphSidecar,2024-01-22 11:50:33,B.E.
GraphSidecar,2024-01-21 20:55:09,B.E.
GraphSidecar,2024-01-20 23:02:19,B.E.
GraphVideo,2024-01-19 17:00:57,B.E.
GraphSidecar,2024-01-19 14:45:28,B.E.
GraphImage,2024-01-18 18:03:13,B.E.
GraphVideo,2024-01-17 10:34:49,B.E.
GraphVideo,2024-01-16 12:50:59,B.E.
GraphVideo,2024-01-15 16:13:10,B.E.
GraphSidecar,2024-01-15 13:17:46,B.E.
GraphVideo,2024-01-13 09:09:53,B.E.
GraphSidecar,2024-01-12 16:54:31,B.E.
GraphVideo,2024-01-11 17:13:36,B.E.
GraphVideo,2024-01-11 08:21:20,B.E.
GraphVideo,2024-01-10 21:06:09,B.E.
GraphImage,2024-01-10 11:04:51,B.E.
GraphVideo,2024-01-09 19:56:57,B.E.
GraphSidecar,2024-01-08 17:44:07,B.E.
GraphImage,2024-01-08 11:04:50,B.E.
GraphVideo,2024-01-07 13:40:19,B.E.
GraphSidecar,2024-01-06 10:42:24,B.E.
